"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB05436","TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso3]","HMDB05436","9544179",NA,"C00422",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05380","TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","HMDB05380","9544150",NA,"C00422",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05363","TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3]","HMDB05363","9544125",NA,"C00422",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB05384","TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6]","HMDB05384","25240361",NA,"C00422",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB05369","TG(16:0/18:0/18:2(9Z,12Z))[iso6]","HMDB05369","9544069",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB05367","TG(16:0/18:0/18:1(9Z))[iso6]","HMDB05367","5365005","89755",NA,NA,"CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB05365","TG(16:0/18:0/18:0)","HMDB0005365","99647664",NA,"C00422","4768","[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB43058","TG(15:0/18:0/20:3(5Z,8Z,11Z))","HMDB0043058","131754189",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB05391","TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","HMDB05391","9544362",NA,"C00422",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB05385","TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","HMDB05385","9544319",NA,"C00422",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
